tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
267,2020-04-20 00:11:44.8850,2020-04-20 00:16:12.5760,3744,1 Ave & E 5 St,40.725864,-73.986389,2003,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,27742,Subscriber,1993,1
577,2020-04-20 00:11:55.7740,2020-04-20 00:21:33.2370,3053,Marcy Ave & Lafayette Ave,40.6900815,-73.94791500000001,3837,Broadway & Kosciuszko St,40.693290000000005,-73.92851999999999,43906,Customer,1994,1
166,2020-04-20 00:12:10.8630,2020-04-20 00:14:57.5690,3085,Roebling St & N 4 St,40.714690000000004,-73.95739,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,37762,Subscriber,1987,1
454,2020-04-20 00:12:15.9930,2020-04-20 00:19:50.2310,400,Pitt St & Stanton St,40.71926081,-73.98178024,342,Columbia St & Rivington St,40.71739973,-73.98016555,35882,Subscriber,1960,1
227,2020-04-20 00:12:42.5130,2020-04-20 00:16:30.2800,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,34201,Subscriber,1938,2
1230,2020-04-20 00:12:44.7120,2020-04-20 00:33:15.0900,262,Washington Park,40.6917823,-73.97372990000001,3052,Lewis Ave & Madison St,40.686312,-73.935775,27356,Subscriber,1987,2
1008,2020-04-20 00:12:59.2090,2020-04-20 00:29:47.3730,3846,Central Ave & Himrod St,40.69676,-73.92302,3827,Halsey St & Broadway,40.68565,-73.91564,41600,Customer,1994,2
2210,2020-04-20 00:13:22.3130,2020-04-20 00:50:12.5930,389,Broadway & Berry St,40.71044554,-73.96525063,361,Allen St & Hester St,40.71605866,-73.99190759,40976,Customer,1969,0
558,2020-04-20 00:13:42.7680,2020-04-20 00:23:01.6860,479,9 Ave & W 45 St,40.76019252,-73.9912551,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,34119,Customer,1969,0
656,2020-04-20 00:13:43.4230,2020-04-20 00:24:39.6820,3913,Sands St Gate,40.699569,-73.979827,3558,Bergen St & Vanderbilt Ave,40.6794388,-73.96804379999999,30346,Subscriber,1992,1
566,2020-04-20 00:13:44.8470,2020-04-20 00:23:11.8170,479,9 Ave & W 45 St,40.76019252,-73.9912551,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,41541,Subscriber,1994,2
551,2020-04-20 00:14:05.7230,2020-04-20 00:23:16.7630,479,9 Ave & W 45 St,40.76019252,-73.9912551,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,28532,Customer,1969,0
451,2020-04-20 00:14:12.8460,2020-04-20 00:21:44.4360,3362,Madison Ave & E 82 St,40.7781314,-73.96069399,3157,East End Ave & E 86 St,40.77518615,-73.94446054,28703,Subscriber,1991,1
684,2020-04-20 00:14:15.3070,2020-04-20 00:25:39.4100,476,E 31 St & 3 Ave,40.74394314,-73.97966069,468,Broadway & W 56 St,40.7652654,-73.98192338,40867,Subscriber,1976,1
500,2020-04-20 00:14:35.4160,2020-04-20 00:22:55.6650,3780,Wyckoff Av & Stanhope St,40.703545,-73.917775,3820,Willoughby Ave & Myrtle Ave,40.69757,-73.93098,41809,Customer,1969,0
251,2020-04-20 00:14:42.2970,2020-04-20 00:18:53.8320,3157,East End Ave & E 86 St,40.77518615,-73.94446054,3288,E 88 St & 1 Ave,40.778301,-73.9488134,43218,Subscriber,1993,1
488,2020-04-20 00:15:25.6530,2020-04-20 00:23:34.2210,507,E 25 St & 2 Ave,40.73912601,-73.97973776,485,W 37 St & 5 Ave,40.75038009,-73.98338988,27588,Subscriber,1976,1
409,2020-04-20 00:15:33.3180,2020-04-20 00:22:23.2050,3301,Columbus Ave & W 95 St,40.7919557,-73.968087,3165,Central Park West & W 72 St,40.77579376683666,-73.97620573639871,30872,Subscriber,1984,2
1665,2020-04-20 00:15:38.6660,2020-04-20 00:43:24.2630,3166,Riverside Dr & W 72 St,40.780577990103346,-73.98562431335448,3533,St. Nicholas Ave & W 126 St,40.8114323,-73.95187759999999,41864,Customer,1969,0
838,2020-04-20 00:16:17.3300,2020-04-20 00:30:15.9320,469,Broadway & W 53 St,40.76344058,-73.98268129,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,36580,Subscriber,1986,1
496,2020-04-20 00:16:22.2670,2020-04-20 00:24:38.9980,379,W 31 St & 7 Ave,40.749156,-73.9916,325,E 19 St & 3 Ave,40.73624527,-73.98473765,19997,Subscriber,1985,1
556,2020-04-20 00:16:40.3010,2020-04-20 00:25:56.6180,3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,3100,Nassau Ave & Newell St,40.724812564400175,-73.94752621650694,33453,Subscriber,1989,1
